Wall time,Step,Value
1745741840.3414345,1,-500.0
1745741850.055267,2,-212.75
1745741850.9216332,3,-212.75
1745741851.7794821,4,-212.75
1745741852.9364283,5,-212.75
1745741863.095725,6,-212.75
1745741863.819691,7,-212.75
1745741864.700436,8,-212.75
1745741865.5730221,9,-212.75
1745741874.5797439,10,-212.39999389648438
1745741875.3572967,11,-212.39999389648438
1745741876.2354746,12,-212.39999389648438
1745741876.8034759,13,-212.39999389648438
1745741886.4296732,14,-212.39999389648438
1745741887.330893,15,-212.39999389648438
1745741888.3577695,16,-212.39999389648438
1745741889.5146325,17,-212.39999389648438
1745741900.883459,18,-212.39999389648438
1745741901.871447,19,-212.39999389648438
1745741902.3931148,20,-212.39999389648438
1745741902.7849512,21,-212.39999389648438
1745741914.386564,22,-212.39999389648438
1745741915.063704,23,-212.39999389648438
1745741915.9096982,24,-212.39999389648438
1745741916.585482,25,-212.39999389648438
1745741925.1027958,26,-212.39999389648438
1745741925.6918974,27,-212.39999389648438
1745741926.4424875,28,-212.39999389648438
1745741926.9414055,29,-212.39999389648438
1745741940.1603687,30,-212.39999389648438
1745741941.1003711,31,-212.39999389648438
1745741942.1953382,32,-212.39999389648438
1745741942.944076,33,-212.39999389648438
1745741954.3351135,34,-212.39999389648438
1745741955.259163,35,-212.39999389648438
1745741956.150721,36,-212.39999389648438
1745741957.53444,37,-212.39999389648438
1745741969.4086273,38,-212.39999389648438
1745741970.7773113,39,-212.39999389648438
1745741972.1110055,40,-212.39999389648438
1745741973.4585457,41,-212.39999389648438
1745741986.4617753,42,-212.39999389648438
1745741988.3615396,43,-212.39999389648438
1745741989.4771738,44,-212.39999389648438
1745741990.395017,45,-212.39999389648438
1745742004.2611246,46,-212.39999389648438
1745742005.0742793,47,-212.39999389648438
1745742006.1126351,48,-212.39999389648438
1745742007.1413221,49,-212.39999389648438
1745742014.9557223,50,-212.39999389648438
1745742015.7029195,51,-212.39999389648438
1745742016.5828447,52,-212.39999389648438
1745742017.289997,53,-212.39999389648438
