Wall time,Step,Value
1745741792.7703133,1,-500.0
1745741805.2612436,2,-328.45001220703125
1745741806.195372,3,-212.75
1745741807.1349611,4,-212.75
1745741819.6496937,5,-212.75
1745741820.4262192,6,-212.75
1745741821.6392484,7,-212.75
1745741851.6988332,8,-212.75
1745741864.2574108,9,-212.75
1745741864.5868666,10,-212.75
1745741865.2808564,11,-212.75
1745741865.8314764,12,-212.75
1745741879.978753,13,-212.75
1745741881.4853601,14,-212.75
1745741882.4271042,15,-212.75
1745741893.6220264,16,-212.75
1745741894.1235888,17,-212.75
1745741895.0971227,18,-212.0
1745741896.8044796,19,-212.0
1745741910.891489,20,-212.0
1745741911.3935652,21,-212.0
1745741925.994589,22,-212.0
1745741926.8087256,23,-212.0
1745741927.8069136,24,-212.0
1745741938.4633825,25,-212.0
1745741939.664203,26,-212.0
1745741940.3509667,27,-212.0
1745741951.8782725,28,-212.0
1745741952.653103,29,-212.0
1745741953.7390718,30,-212.0
1745741954.5040848,31,-212.0
1745741969.615307,32,-212.0
1745741970.1385832,33,-212.0
1745741972.5521226,34,-212.0
1745741988.0693278,35,-212.0
1745741990.3413312,36,-212.0
1745741993.0385985,37,-212.0
1745742004.3541443,38,-212.0
1745742005.3913236,39,-212.0
1745742006.4698296,40,-212.0
1745742007.188191,41,-212.0
1745742017.4955862,42,-212.0
1745742018.3658588,43,-212.0
1745742020.333631,44,-212.0
1745742021.0442934,45,-212.0
