Wall time,Step,Value
1745702150.9160502,1,-5000.0
1745702159.968722,2,-2069.0
1745702161.703292,3,-2069.0
1745702164.4093409,4,-2069.0
1745702182.3631241,5,-2069.0
1745702183.836532,6,-2067.0
1745702193.2539074,7,-2067.0
1745702194.704765,8,-2067.0
1745702195.6796842,9,-2067.0
1745702198.0395987,10,-2067.0
1745702232.0113425,11,-2067.0
1745702232.8972335,12,-2067.0
1745702242.957662,13,-2067.0
1745702254.6201313,14,-2067.0
1745702256.600419,15,-2067.0
1745702280.2995138,16,-2067.0
1745702289.8168418,17,-2067.0
1745702290.6990209,18,-2067.0
1745702303.1524928,19,-2067.0
1745702304.7333517,20,-2067.0
1745702319.3464522,21,-2067.0
1745702320.5457695,22,-2067.0
1745702349.6913002,23,-2067.0
1745702352.0065444,24,-2067.0
1745702361.3446486,25,-2067.0
1745702361.836603,26,-2067.0
1745702362.3456895,27,-2067.0
1745702362.8577044,28,-2067.0
1745702374.6439118,29,-2067.0
1745702387.2079678,30,-2067.0
1745702396.1779609,31,-2067.0
1745702426.2643206,32,-2067.0
1745702432.5866752,33,-2067.0
1745702448.5121346,34,-2067.0
1745702450.1234539,35,-2067.0
1745702459.8997314,36,-2067.0
1745702460.4048452,37,-2067.0
1745702460.903537,38,-2067.0
1745702473.9289644,39,-2067.0
1745702475.5261743,40,-2067.0
1745702476.8078113,41,-2067.0
1745702494.6937602,42,-2066.199951171875
1745702536.753844,43,-2066.199951171875
1745702538.510178,44,-2066.199951171875
1745702552.9890623,45,-2066.199951171875
1745702553.9661067,46,-2066.199951171875
1745702563.310713,47,-2066.199951171875
1745702563.826379,48,-2066.199951171875
1745702564.3457456,49,-2066.199951171875
1745702572.9079452,50,-2066.199951171875
1745702592.6768386,51,-2066.199951171875
1745702593.0392866,52,-2066.199951171875
1745702595.720156,53,-2066.199951171875
1745702605.0925114,54,-2066.199951171875
1745702620.3817952,55,-2066.199951171875
1745702642.2092876,56,-2066.199951171875
1745702643.885335,57,-2066.199951171875
1745702656.8228545,58,-2066.199951171875
1745702659.5205815,59,-2066.199951171875
1745702674.6054704,60,-2066.199951171875
1745702677.3787882,61,-2066.199951171875
1745702715.7379632,62,-2066.199951171875
1745702716.350587,63,-2066.199951171875
1745702741.4262514,64,-2066.199951171875
1745702742.0570076,65,-2066.199951171875
1745702743.677923,66,-2066.199951171875
1745702762.2079518,67,-2051.39990234375
1745702769.8831966,68,-2051.39990234375
1745702795.8867085,69,-2051.39990234375
1745702808.2733514,70,-2051.39990234375
1745702810.049497,71,-2051.39990234375
1745702823.585958,72,-2051.39990234375
1745702836.6497223,73,-2051.39990234375
1745702849.3368807,74,-2051.39990234375
1745702850.6292915,75,-2051.39990234375
1745702851.9064968,76,-2051.39990234375
1745702874.2728932,77,-2051.39990234375
1745702876.3114367,78,-2051.39990234375
1745702894.811377,79,-2051.39990234375
1745702895.433455,80,-2051.39990234375
1745702896.0104587,81,-2051.39990234375
1745702921.7096364,82,-2051.39990234375
1745702934.575955,83,-2051.39990234375
1745702935.3454309,84,-2051.39990234375
1745702985.2637618,85,-2051.39990234375
1745702987.0528479,86,-2051.39990234375
1745702988.98621,87,-2051.39990234375
1745703005.4581475,88,-2051.39990234375
1745703020.0033505,89,-2051.39990234375
1745703055.4563386,90,-2051.39990234375
1745703056.832942,91,-2051.39990234375
1745703065.4505513,92,-2051.39990234375
1745703066.048602,93,-2051.39990234375
1745703066.5907855,94,-2051.39990234375
1745703084.7789583,95,-2045.0
1745703116.650932,96,-2045.0
1745703118.7292688,97,-2045.0
1745703150.114715,98,-2045.0
1745703159.1508036,99,-2045.0
1745703159.7045252,100,-2045.0
1745703160.276234,101,-2045.0
1745703173.6501698,102,-2045.0
1745703200.7376459,103,-2045.0
1745703202.792739,104,-2045.0
1745703252.2932482,105,-2045.0
1745703255.6808517,106,-2045.0
1745703258.163049,107,-2045.0
1745703317.5642872,108,-2045.0
1745703320.3663132,109,-2045.0
1745703343.1766922,110,-2045.0
1745703405.554121,111,-2045.0
1745703437.0984967,112,-2045.0
1745703439.4768348,113,-2045.0
1745703441.5322928,114,-2045.0
1745703460.396099,115,-2045.0
1745703465.0599115,116,-2045.0
1745703515.9626193,117,-2045.0
1745703555.4437594,118,-2045.0
1745703562.9535909,119,-2045.0
1745703564.279375,120,-2045.0
1745703578.311693,121,-2045.0
