Wall time,Step,Value
1745705845.5172608,1,-5000.0
1745705854.8515303,2,-2069.800048828125
1745705856.092302,3,-2069.800048828125
1745705858.0286384,4,-2069.199951171875
1745705859.0790625,5,-2069.199951171875
1745705870.3973417,6,-2069.199951171875
1745705872.406996,7,-2069.199951171875
1745705874.590577,8,-2069.199951171875
1745705877.1770113,9,-2069.199951171875
1745705886.1126304,10,-2069.199951171875
1745705889.3849757,11,-2069.199951171875
1745705890.4797084,12,-2069.199951171875
1745705891.6896422,13,-2069.199951171875
1745705901.2601254,14,-2069.199951171875
1745705902.561019,15,-2069.199951171875
1745705904.0872524,16,-2069.199951171875
1745705905.105179,17,-2069.199951171875
1745705919.4693182,18,-2069.199951171875
1745705922.420926,19,-2069.199951171875
1745705923.9387946,20,-2069.199951171875
1745705926.6304288,21,-2069.199951171875
1745705935.4321468,22,-2069.199951171875
1745705936.0791643,23,-2069.199951171875
1745705937.7717133,24,-2069.199951171875
1745705950.9175467,26,-2069.199951171875
1745705952.2216299,27,-2069.199951171875
1745705953.3564312,28,-2069.199951171875
1745705954.992921,29,-2069.199951171875
1745705969.5725322,30,-2069.199951171875
1745705971.6863666,31,-2069.199951171875
1745705974.2651231,32,-2069.199951171875
1745705976.6488497,33,-2069.199951171875
1745705988.6153495,34,-2069.199951171875
1745705989.7489035,35,-2069.199951171875
1745705991.345266,36,-2069.199951171875
1745705992.4354377,37,-2069.199951171875
1745706002.5259027,38,-2069.199951171875
1745706003.7026353,39,-2069.199951171875
1745706005.1807528,40,-2069.199951171875
1745706006.9921916,41,-2069.199951171875
1745706018.4733703,42,-2069.199951171875
1745706019.9605596,43,-2069.199951171875
1745706021.0270364,44,-2066.60009765625
1745706022.7213233,45,-2066.60009765625
1745706031.7008948,46,-2066.60009765625
1745706033.3064985,47,-2066.60009765625
1745706034.5117335,48,-2066.60009765625
1745706035.5689626,49,-2066.60009765625
1745706050.913486,50,-2066.60009765625
1745706052.8173308,51,-2066.60009765625
1745706055.5399187,52,-2066.60009765625
1745706057.524265,53,-2066.60009765625
1745706066.7704859,54,-2066.60009765625
1745706068.409126,55,-2066.60009765625
1745706069.4353337,56,-2066.60009765625
1745706071.0282466,57,-2066.60009765625
1745706081.1846342,58,-2066.60009765625
1745706082.5632317,59,-2066.60009765625
1745706084.360714,60,-2066.60009765625
1745706085.9413333,61,-2066.60009765625
1745706096.5305657,62,-2066.60009765625
1745706098.2468326,63,-2066.60009765625
1745706099.9380443,64,-2066.60009765625
1745706101.3423862,65,-2066.60009765625
1745706119.0107787,66,-2066.60009765625
1745706122.0490425,67,-2066.60009765625
1745706125.1473286,68,-2066.60009765625
1745706128.8067095,69,-2066.60009765625
1745706141.6485772,70,-2066.60009765625
1745706143.0908518,71,-2066.60009765625
1745706145.0049744,72,-2066.60009765625
1745706146.144641,73,-2066.60009765625
1745706159.4599113,74,-2066.60009765625
1745706161.005753,75,-2066.60009765625
1745706162.1278443,76,-2066.60009765625
1745706163.6155837,77,-2066.60009765625
1745706172.2685747,78,-2066.60009765625
1745706173.4956582,79,-2066.60009765625
1745706174.9762242,80,-2066.60009765625
1745706176.1693368,81,-2066.60009765625
1745706184.0014443,82,-2066.60009765625
1745706185.4607544,83,-2066.60009765625
1745706186.632047,84,-2066.60009765625
1745706190.9139364,85,-2066.60009765625
1745706201.102353,86,-2066.60009765625
1745706202.5514653,87,-2066.60009765625
1745706203.5172188,88,-2066.60009765625
1745706205.2498546,89,-2066.60009765625
1745706217.1758387,90,-2066.60009765625
1745706218.1672225,91,-2066.60009765625
1745706219.1450145,92,-2066.60009765625
1745706220.0732024,93,-2066.60009765625
1745706233.0009499,94,-2066.60009765625
1745706235.9359214,95,-2066.60009765625
1745706237.2079582,96,-2066.60009765625
1745706238.4509845,97,-2066.60009765625
1745706247.1365852,98,-2066.60009765625
1745706248.967424,99,-2066.60009765625
1745706250.8634846,100,-2066.60009765625
1745706252.4105978,101,-2066.60009765625
1745706262.7871058,102,-2066.60009765625
1745706263.8900075,103,-2066.60009765625
1745706264.871486,104,-2066.60009765625
1745706265.800012,105,-2066.60009765625
1745706280.0312097,106,-2066.60009765625
1745706281.6015706,107,-2066.60009765625
1745706284.7466161,108,-2066.60009765625
1745706286.4444337,109,-2066.60009765625
1745706300.3227243,110,-2066.60009765625
1745706302.3008993,111,-2066.60009765625
1745706306.68924,112,-2066.60009765625
1745706308.954942,113,-2066.60009765625
1745706323.2876027,114,-2066.60009765625
1745706325.729238,115,-2066.60009765625
1745706329.597942,116,-2066.60009765625
1745706332.4081068,117,-2066.60009765625
1745706346.0869052,118,-2066.60009765625
1745706347.280292,119,-2066.60009765625
1745706348.9909327,120,-2066.60009765625
1745706350.6755066,121,-2066.60009765625
1745706363.529872,122,-2066.60009765625
1745706365.0559406,123,-2066.60009765625
1745706366.4600747,124,-2066.60009765625
1745706368.7917104,125,-2066.60009765625
1745706379.750748,126,-2066.60009765625
1745706381.5220325,127,-2066.60009765625
1745706384.0723257,128,-2066.60009765625
1745706385.8257709,129,-2066.60009765625
1745706400.083938,130,-2066.60009765625
1745706402.7484157,131,-2066.60009765625
1745706405.5616767,132,-2066.60009765625
1745706408.0106077,133,-2066.60009765625
1745706419.4432156,134,-2066.60009765625
1745706421.3078663,135,-2066.60009765625
1745706423.5474713,136,-2066.60009765625
1745706425.8665578,137,-2066.60009765625
1745706440.1976664,138,-2066.60009765625
1745706441.5895288,139,-2066.60009765625
1745706442.7522147,140,-2066.60009765625
1745706444.5019302,141,-2066.60009765625
1745706457.2374842,142,-2066.60009765625
1745706458.7186615,143,-2066.60009765625
1745706461.0558302,144,-2066.60009765625
1745706462.2731712,145,-2066.60009765625
1745706474.4773092,146,-2066.60009765625
1745706476.2015183,147,-2066.60009765625
1745706477.7841415,148,-2066.60009765625
1745706479.5334387,149,-2066.60009765625
1745706492.763005,150,-2064.0
1745706494.2592642,151,-2064.0
1745706496.393488,152,-2064.0
1745706497.91063,153,-2064.0
1745706512.5768502,154,-2064.0
1745706514.7894087,155,-2064.0
1745706516.4920995,156,-2064.0
1745706518.2621484,157,-2063.800048828125
1745706531.3882573,158,-2063.800048828125
1745706532.5135424,159,-2063.800048828125
1745706533.5868971,160,-2063.800048828125
1745706535.0513923,161,-2063.800048828125
1745706545.5054717,162,-2063.800048828125
1745706546.9646657,163,-2063.800048828125
1745706548.3783357,164,-2063.800048828125
1745706549.910191,165,-2063.800048828125
1745706560.0256543,166,-2063.800048828125
1745706560.9074554,167,-2063.800048828125
1745706562.3851511,168,-2063.800048828125
1745706563.9462943,169,-2063.800048828125
1745706579.6956754,170,-2063.800048828125
1745706581.4551067,171,-2063.800048828125
1745706583.017384,172,-2063.800048828125
1745706584.441057,173,-2063.800048828125
1745706601.0813332,174,-2063.800048828125
1745706603.3393202,175,-2063.800048828125
1745706605.2509782,176,-2063.800048828125
1745706607.1770144,177,-2063.800048828125
1745706620.7785933,178,-2063.800048828125
1745706622.3055809,179,-2063.800048828125
1745706623.935028,180,-2063.800048828125
1745706624.8382332,181,-2063.800048828125
1745706637.5600898,182,-2063.800048828125
1745706638.7688625,183,-2063.800048828125
1745706639.9894133,184,-2063.800048828125
1745706641.1720002,185,-2063.800048828125
1745706653.2139285,186,-2063.800048828125
1745706654.800843,187,-2063.800048828125
1745706656.4284482,188,-2063.800048828125
1745706657.6461425,189,-2063.800048828125
1745706670.122314,190,-2063.800048828125
1745706672.059624,191,-2063.800048828125
1745706673.105766,192,-2063.800048828125
1745706673.6134188,193,-2063.800048828125
1745706686.2569063,194,-2063.800048828125
1745706687.8479376,195,-2063.800048828125
1745706689.1120644,196,-2063.800048828125
1745706690.333009,197,-2063.800048828125
1745706701.085945,198,-2063.800048828125
1745706702.874712,199,-2063.800048828125
1745706703.9845593,200,-2063.800048828125
1745706705.4289176,201,-2063.800048828125
1745706719.8083143,202,-2063.800048828125
1745706721.537583,203,-2063.800048828125
1745706722.894852,204,-2063.800048828125
1745706724.789273,205,-2063.800048828125
1745706743.6778142,206,-2063.800048828125
1745706746.1215792,207,-2063.800048828125
1745706748.043498,208,-2063.800048828125
1745706750.7953525,209,-2063.800048828125
1745706766.777521,210,-2063.800048828125
1745706768.451054,211,-2063.800048828125
1745706770.101315,212,-2063.800048828125
1745706771.5599647,213,-2063.800048828125
1745706784.6982317,214,-2063.800048828125
1745706785.7681448,215,-2063.800048828125
1745706786.8643315,216,-2063.800048828125
1745706788.4125226,217,-2063.800048828125
1745706800.089851,218,-2063.800048828125
1745706801.5736353,219,-2063.800048828125
1745706803.0702229,220,-2063.800048828125
1745706803.998846,221,-2063.800048828125
1745706814.712554,222,-2063.800048828125
1745706815.7113636,223,-2063.800048828125
1745706816.6591887,224,-2063.800048828125
1745706818.013867,225,-2063.800048828125
1745706834.076216,226,-2063.800048828125
1745706836.5439076,227,-2063.800048828125
1745706839.2166655,228,-2063.800048828125
1745706841.2278802,229,-2063.800048828125
1745706856.3842523,230,-2063.800048828125
1745706858.1872787,231,-2063.800048828125
1745706859.8147478,232,-2063.800048828125
1745706862.0630977,233,-2063.800048828125
1745706874.1749437,234,-2063.800048828125
1745706875.3887582,235,-2063.800048828125
1745706876.4851787,236,-2063.800048828125
1745706878.0526416,237,-2063.800048828125
1745706892.4750385,238,-2063.800048828125
1745706896.52861,239,-2063.800048828125
1745706898.8601274,240,-2046.800048828125
1745706900.3365333,241,-2046.800048828125
1745706917.0816307,242,-2046.800048828125
